,price,with_pool,nb_bedrooms,nb_bathrooms,nb_garages,nb_garden,nb_parking
15251,2100000.0,1,2.0,2.0,0.0,0.0,2.0
8402,3750000.0,0,4.0,3.0,2.0,1.0,2.0
8251,1299000.0,0,2.0,1.0,0.0,1.0,1.0
14748,1195000.0,0,3.0,1.0,0.0,1.0,0.0
18247,0.0,0,0.0,0.0,0.0,0.0,0.0
20527,475000.0,0,4.0,2.0,0.0,1.0,1.0
4051,1950000.0,1,2.0,2.0,0.0,0.0,2.0
18180,870000.0,0,3.0,2.0,0.0,0.0,1.0
19013,899000.0,0,2.0,1.0,0.0,1.0,2.0
20808,960000.0,0,3.0,2.0,4.0,0.0,0.0
11853,1100000.0,1,2.0,1.0,0.0,0.0,1.0
15717,3150000.0,1,4.0,2.0,4.0,0.0,2.0
15413,9300000.0,1,10.0,8.0,8.0,1.0,0.0
10108,2650000.0,0,0.0,0.0,0.0,0.0,0.0
4616,2095000.0,0,2.0,1.0,0.0,0.0,1.0
4571,472000.0,0,1.0,1.0,0.0,0.0,1.0
18823,545000.0,1,3.0,1.0,0.0,0.0,1.0
7936,2995000.0,1,4.0,3.0,6.0,1.0,1.0
11147,859000.0,0,2.0,2.0,0.0,1.0,2.0
428,2690000.0,0,4.0,1.0,4.0,1.0,2.0
5095,500000.0,0,2.0,1.0,0.0,0.0,1.0
4861,1550000.0,0,3.0,3.0,0.0,0.0,2.0
20867,2880000.0,0,3.0,3.0,4.0,0.0,0.0
15757,1100000.0,0,3.0,2.0,0.0,0.0,0.0
19882,1080000.0,1,2.0,2.0,0.0,0.0,1.0
6808,999000.0,0,2.0,2.0,0.0,0.0,2.0
13000,739000.0,0,3.0,1.0,0.0,0.0,0.0
5671,820000.0,1,2.0,1.0,0.0,0.0,0.0
19042,1640000.0,0,4.0,1.0,0.0,1.0,3.0
16498,550000.0,0,5.0,2.0,0.0,1.0,0.0
9647,1595000.0,0,3.0,2.0,1.0,1.0,1.0
3566,920000.0,0,3.0,1.0,0.0,0.0,2.0
5683,640000.0,0,3.0,1.0,0.0,1.0,1.0
16863,5642000.0,0,5.0,3.0,6.0,0.0,0.0
604,980000.0,0,2.0,1.0,0.0,0.0,0.0
10340,570000.0,1,2.0,1.0,0.0,0.0,1.0
7290,345000.0,0,3.0,1.0,0.0,0.0,1.0
7640,2950000.0,1,3.0,2.0,4.0,0.0,0.0
2320,505000.0,0,1.0,1.0,0.0,1.0,1.0
20689,17900000.0,1,5.0,6.0,8.0,1.0,0.0
14942,1502317.0,1,4.0,1.0,0.0,0.0,1.0
20486,3495000.0,0,4.0,3.0,1.0,1.0,0.0
4678,4950000.0,0,4.0,1.0,4.0,0.0,0.0
20950,830000.0,0,2.0,2.0,4.0,0.0,1.0
1772,630000.0,0,2.0,1.0,0.0,0.0,1.0
6669,434000.0,0,2.0,1.0,0.0,0.0,1.0
11920,420000.0,0,1.0,1.0,0.0,0.0,0.0
15084,1100000.0,0,4.0,2.0,4.0,1.0,0.0
15708,895000.0,0,1.0,1.0,0.0,0.0,1.0
8862,2685000.0,0,3.0,2.0,4.0,1.0,0.0
10684,1450000.0,1,3.0,1.0,4.0,0.0,0.0
2583,750000.0,0,3.0,2.0,0.0,0.0,1.0
13726,1600000.0,0,3.0,2.0,2.0,1.0,0.0
20528,849000.0,1,2.0,0.0,0.0,1.0,0.0
3649,2599000.0,0,2.0,2.0,0.0,0.0,0.0
5602,530000.0,1,2.0,1.0,0.0,1.0,1.0
20487,2248000.0,0,3.0,3.0,1.0,1.0,0.0
16074,375000.0,0,1.0,1.0,4.0,1.0,0.0
9914,2799000.0,0,3.0,2.0,8.0,1.0,4.0
8914,1800000.0,1,0.0,0.0,0.0,0.0,0.0
9344,480000.0,0,2.0,1.0,10.0,0.0,1.0
2187,1195000.0,0,3.0,1.0,0.0,1.0,0.0
17133,860000.0,0,2.0,1.0,0.0,0.0,1.0
11657,540000.0,0,2.0,1.0,0.0,1.0,1.0
9196,1650000.0,1,2.0,1.0,0.0,0.0,0.0
8101,3175000.0,1,5.0,3.0,0.0,1.0,1.0
13647,734900.0,0,3.0,2.0,0.0,0.0,1.0
13052,2385000.0,0,2.0,1.0,1.0,1.0,0.0
5646,495000.0,0,2.0,1.0,0.0,0.0,0.0
7592,1150000.0,0,1.0,1.0,4.0,1.0,0.0
8288,950000.0,0,3.0,1.0,4.0,1.0,1.0
12494,1612000.0,1,1.0,2.0,1.0,1.0,1.0
1117,2900000.0,0,3.0,1.0,4.0,1.0,4.0
19348,3500000.0,0,3.0,1.0,0.0,0.0,2.0
19664,4774000.0,0,10.0,7.0,4.0,1.0,0.0
18443,830000.0,1,3.0,1.0,0.0,0.0,0.0
9931,6200000.0,1,8.0,9.0,6.0,1.0,10.0
20214,1500000.0,0,3.0,2.0,2.0,1.0,0.0
12479,1295000.0,1,3.0,2.0,1.0,1.0,1.0
1368,4250000.0,0,3.0,2.0,2.0,1.0,0.0
11677,420000.0,0,2.0,1.0,0.0,0.0,0.0
7502,1950000.0,0,3.0,2.0,4.0,1.0,0.0
5643,576000.0,0,2.0,1.0,0.0,0.0,0.0
15124,655000.0,0,3.0,2.0,0.0,0.0,1.0
15236,2350000.0,0,2.0,2.0,0.0,0.0,1.0
10299,1800000.0,0,2.0,1.0,0.0,0.0,1.0
12896,600000.0,0,2.0,1.0,0.0,1.0,1.0
1096,4495000.0,1,4.0,3.0,4.0,1.0,2.0
2820,1500000.0,1,3.0,3.0,1.0,1.0,1.0
934,650000.0,0,2.0,1.0,0.0,0.0,1.0
2749,555000.0,0,3.0,1.0,0.0,0.0,0.0
13359,3750000.0,0,3.0,2.0,4.0,0.0,0.0
9947,1995000.0,1,5.0,3.0,0.0,1.0,1.0
825,1150000.0,0,2.0,1.0,0.0,0.0,1.0
13859,6950000.0,1,4.0,4.0,4.0,1.0,1.0
14188,1350000.0,0,0.0,0.0,0.0,0.0,0.0
11735,1350000.0,0,4.0,3.0,0.0,1.0,1.0
10858,860000.0,0,2.0,2.0,0.0,0.0,0.0
4006,2795000.0,0,3.0,5.0,4.0,1.0,2.0
10254,1150000.0,1,2.0,1.0,0.0,1.0,1.0
14563,1799000.0,0,3.0,2.0,0.0,0.0,1.0
240,799000.0,1,2.0,2.0,0.0,1.0,1.0
2770,770000.0,0,1.0,2.0,0.0,1.0,1.0
20625,3980000.0,0,4.0,2.0,1.0,0.0,0.0
8606,880000.0,0,3.0,1.0,0.0,1.0,0.0
16748,800000.0,0,2.0,2.0,0.0,0.0,0.0
20458,4500000.0,1,4.0,4.0,8.0,1.0,0.0
6378,960000.0,0,3.0,2.0,0.0,0.0,2.0
14283,699000.0,0,3.0,2.0,0.0,0.0,1.0
15660,905000.0,0,3.0,1.0,0.0,0.0,2.0
18260,1363999.0,1,3.0,1.0,1.0,0.0,0.0
8373,2900000.0,0,4.0,1.0,8.0,1.0,5.0
7244,500000.0,0,2.0,1.0,0.0,0.0,1.0
